op_name,family,cpu_status,cpu_framework,cpu_dtypes,cpu_symbol,cpu_execution_kind,gpu_status,gpu_framework,gpu_dtypes,gpu_symbol,gpu_dispatch,proof_test,notes
cross_entropy_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
ctc_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
ddpm_noise_pred_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
denoising_score_matching_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
depthwise_conv1d,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
dequant_matmul,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,fp32,tessera_apple_gpu_dequant_matmul_f32,driver,tests/unit/test_apple_*.py,
digamma,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
dropout,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
edm_loss_weight,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
edm_precondition,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
einsum,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
factorized_matmul,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
factorized_pos_emb,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
flash_attn,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_abi,Metal (MSL),"fp32,fp16,bf16",tessera_apple_gpu_flash_attn_f32,driver,tests/unit/test_apple_backend_roadmap.py,
flip,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
fused_epilogue,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
gather,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,"fp32,fp16,bf16","tessera_apple_gpu_mpsgraph_gather_{f32,f16}",driver,tests/unit/test_apple_gpu_gather.py,
gelu,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_abi,Metal (MSL),"fp32,fp16,bf16",tessera_apple_gpu_gelu_f32,driver,tests/unit/test_apple_backend_roadmap.py,
gemm,tensor,fused,Accelerate (cblas_sgemm) + BNNS (fp16/bf16),"fp32,fp16,bf16","tessera_apple_cpu_gemm_{f32,f16,bf16}",accelerate_native,absent,,,,absent,tests/unit/test_apple_backend_roadmap.py,
grouped_gemm,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,fp32,tessera_apple_gpu_grouped_gemm_f32,driver,tests/unit/test_apple_*.py,
grpo_policy_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
gru_cell,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
huber_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
image_resize,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
implicit_score_matching_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
interpolate,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
js_divergence,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
kl_divergence,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
kv_cache_read,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,"fp32,fp16,bf16","tessera_apple_gpu_mps_matmul_{f32,f16,bf16}",driver,tests/unit/test_apple_*.py,
latent_kv_compress,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
latent_kv_expand_k,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
latent_kv_expand_v,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
layer_norm,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_abi,,"fp32,fp16,bf16","tessera_apple_gpu_layer_norm_dev_{f32,f16,bf16}_enc",driver,tests/unit/test_apple_*.py,
lgamma,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
linear_attn_state,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,fp32,,manifest,tests/unit/test_apple_*.py,
lion,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,Metal (MSL),fp32,tessera_apple_gpu_optimizer_f32,driver,tests/unit/test_apple_gpu_optimizer_compiled.py,
load_balance_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
log_cosh_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
lookahead_sparse_attention,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,fp32,,manifest,tests/unit/test_apple_*.py,
lora_linear,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
lstm_cell,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
lu,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
mae_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
masked_categorical,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,"fp32,int32",tessera_apple_gpu_masked_categorical_f32,driver,tests/unit/test_apple_gpu_ldt_loss_ops.py,
masked_fill,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
masked_scatter,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
matmul,tensor,fused,Accelerate (cblas_sgemm) + BNNS (fp16/bf16),"fp32,fp16,bf16","tessera_apple_cpu_gemm_{f32,f16,bf16}",accelerate_native,fused,MetalPerformanceShaders,"fp32,fp16,bf16","tessera_apple_gpu_mps_matmul_{f32,f16,bf16}",driver,tests/unit/test_apple_backend_roadmap.py,
memory_index_score,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,fp32,,manifest,tests/unit/test_apple_gpu_composite_helpers.py,
memory_read,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
mobius,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
moe,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,MetalPerformanceShaders (local f32 expert blocks; host routing),fp32,tessera_apple_gpu_mps_matmul_f32 (per-expert blocks; host routing),driver,tests/unit/test_apple_gpu_moe_compiled.py,
moe_combine,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
moe_dispatch,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
moe_swiglu_block,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,fp32,tessera_apple_gpu_moe_swiglu_f32,driver,tests/unit/test_apple_*.py,
momentum,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,Metal (MSL),fp32,tessera_apple_gpu_optimizer_f32,driver,tests/unit/test_apple_gpu_optimizer_compiled.py,
mor_partition,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
mor_router,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
mor_scatter,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
mrope_2d,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
msa_index_scores,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,fp32,,manifest,tests/unit/test_apple_gpu_composite_helpers.py,
msa_sparse_attention,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,"fp32,fp16",,manifest,tests/unit/test_apple_*.py,
mse_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
normalize_group_advantages,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
online_softmax_state,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
pack,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
pad,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
patchify,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
perceiver_resampler,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
persistent_cd_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
pixel_shuffle,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
pixel_unshuffle,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
ppo_policy_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
qr,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
quantized_matmul,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_abi,,"fp32,fp16",tessera_apple_gpu_quantized_matmul_i4_f32,driver,tests/unit/test_apple_gpu_quantized_matmul.py,
rearrange,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
relu,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,"fp32,fp16,bf16",tessera_apple_gpu_mpsgraph_unary_f32,driver,tests/unit/test_apple_*.py,
repeat,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
rmsnorm,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_abi,Metal (MSL),"fp32,fp16,bf16",tessera_apple_gpu_rmsnorm_f32,driver,tests/unit/test_apple_backend_roadmap.py,
rng_normal,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
rng_uniform,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
roll,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
rope,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_abi,Metal (MSL),"fp32,fp16,bf16",tessera_apple_gpu_rope_f32,driver,tests/unit/test_apple_backend_roadmap.py,
rope_merge,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
rope_split,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
scatter,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,Metal (MSL),fp32,tessera_apple_gpu_scatter_f32,driver,tests/unit/test_apple_gpu_scatter_compiled.py,
scatter_add,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,Metal (MSL),fp32,tessera_apple_gpu_scatter_f32,driver,tests/unit/test_apple_gpu_scatter_compiled.py,
scatter_reduce,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,Metal (MSL),fp32,tessera_apple_gpu_scatter_f32,driver,tests/unit/test_apple_gpu_scatter_compiled.py,
score_combine,tensor,reference,numpy_reference,fp32,,numpy_reference,fused,,fp32,,manifest,tests/unit/test_apple_gpu_composite_helpers.py,
score_matching_loss,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
sddmm,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,Metal (MSL),fp32,tessera_apple_gpu_sddmm_f32,driver,tests/unit/test_apple_gpu_sddmm_compiled.py,
sgd,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,Metal (MSL),fp32,tessera_apple_gpu_optimizer_f32,driver,tests/unit/test_apple_gpu_optimizer_compiled.py,
silu,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_abi,,"fp32,fp16,bf16","tessera_apple_gpu_unary_dev_{f32,f16,bf16}_enc",driver,tests/unit/test_apple_*.py,
simple_rnn_cell,tensor,reference,numpy_reference,fp32,,numpy_reference,device_verified_jit,,fp32,,manifest,tests/unit/test_apple_*.py,
